molecule,bond_index,begin_atom_idx,end_atom_idx,begin_atom_symbol,end_atom_symbol,bde,bdfe
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,27,10,26,C,H,115.00984951997987,106.46568697600728
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,28,12,27,C,H,115.29662113296924,106.62381924403606
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,29,14,28,C,H,93.92303708399967,85.5765398750274
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,30,14,29,C,H,93.92303708399967,85.5765398750274
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,31,14,30,C,H,93.92303708399967,85.5765398750274
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,0,0,1,C,O,61.152007067984734,47.432150292024374
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,1,1,2,O,C,106.83089721401262,88.86656956199626
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,4,4,5,C,C,99.03284287101111,80.91352049595802
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,5,5,6,C,N,93.33757118705104,76.11997924500417
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,6,6,7,N,C,102.43080410599282,83.47124717999229
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,8,7,9,C,C,89.2662927949858,71.81401248703209
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,9,9,10,C,C,87.68810766004667,70.23394482502637
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,10,10,11,C,C,91.2944018830731,72.5914961379953
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,11,11,12,C,C,75.90474365804822,59.713128931050576
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,12,12,13,C,C,100.96619809998094,84.81348893102775
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,14,14,15,C,C,98.83706006300604,82.11708275798692
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,20,20,21,C,O,116.62568519503796,100.81559594000447
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,22,0,22,C,H,98.51640296403087,87.70756043899755
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,23,0,23,C,H,98.51640296403087,87.70756043899755
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,24,0,24,C,H,98.51640296403087,87.70756043899755
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,25,3,25,C,H,109.98663997503516,101.04526423399534
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,26,5,26,C,H,88.07653573099338,79.15147522405506
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,27,5,27,C,H,88.07653573099338,79.15147522405506
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,28,6,28,N,H,108.52830905900744,96.93131523003782
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,29,9,29,C,H,90.58845425800062,82.6605055520417
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,30,9,30,C,H,90.58845425800062,82.6605055520417
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,31,10,31,C,H,95.98377664000459,86.96772732801062
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,32,10,32,C,H,95.98377664000459,86.96772732801062
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,33,11,33,C,H,94.83731769704553,86.19212620404267
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,34,11,34,C,H,94.83731769704553,86.19212620404267
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,38,14,38,C,H,109.02592369603519,96.01013201800939
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,40,16,40,C,H,97.6874635750549,89.45015293202098
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,41,16,41,C,H,97.6874635750549,89.45015293202098
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,42,16,42,C,H,97.6874635750549,89.45015293202098
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,43,17,43,C,H,97.6874635750549,89.45015293202098
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,44,17,44,C,H,97.6874635750549,89.45015293202098
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,45,17,45,C,H,97.6874635750549,89.45015293202098
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,47,19,47,C,H,111.92627029406049,103.25221338705914
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,48,21,48,O,H,88.82829151302155,77.29593111103145
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0,0,1,C,N,102.61089918896616,89.23177979993027
Cn1c(=O)c2[nH]cnc2n(C)c1=O,14,0,13,C,H,95.20064540805564,86.96207974702489
Cn1c(=O)c2[nH]cnc2n(C)c1=O,15,0,14,C,H,95.20064540805564,86.96207974702489
Cn1c(=O)c2[nH]cnc2n(C)c1=O,16,0,15,C,H,95.20064540805564,86.96207974702489
Cn1c(=O)c2[nH]cnc2n(C)c1=O,17,5,16,N,H,93.29678310201135,84.8843974479914
Cn1c(=O)c2[nH]cnc2n(C)c1=O,18,6,17,C,H,116.78318995406835,107.66046411198701
Cn1c(=O)c2[nH]cnc2n(C)c1=O,19,10,18,C,H,94.681067956012,86.59435947302588
Cn1c(=O)c2[nH]cnc2n(C)c1=O,20,10,19,C,H,94.681067956012,86.59435947302588
Cn1c(=O)c2[nH]cnc2n(C)c1=O,21,10,20,C,H,94.681067956012,86.59435947302588
